Country Name,ISO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Males,Females,Latitude,Longitude,Basic water access,Basic sanitation,GDP (Millions),Continent Code,Continent Name
Central African Republic,CAF,115.6189,115.2373,115.0103,115.1206,115.4582,115.4837,115.1831,114.8085,114.2489,113.7577,113.2876,112.7736,112.2394,111.6079,111.0239,110.4243,109.7780,109.1702,108.5248,107.8251,107.0466,105.9149,104.8983,103.5715,101.8928,100.2902,98.1846,96.1502,94.6496,92.1187,89.7343,87.4110,85.4568,83.4412,81.0032,87.4593,74.2567,6.611111,20.939444,37.20240205,14.11863478,2303.078338,AF,Africa
Chad,TCD,117.9680,116.7075,115.4850,114.2307,112.9875,111.7189,110.4755,109.2950,108.2111,107.1622,106.1854,105.2004,104.1323,102.9266,101.5727,100.1606,98.7264,97.2857,95.8709,94.3808,92.8907,91.3058,89.6525,87.9614,86.2022,84.4356,82.6891,80.9949,79.3289,77.7007,76.0562,74.3744,72.5536,70.8365,69.0960,75.3078,62.535,15.454166,18.732207,46.18753479,12.06370114,10093.11857,AF,Africa
Chile,CHL,18.9112,18.7477,18.5192,18.0371,17.2277,16.1319,14.9175,13.7347,12.6741,11.7880,11.1023,10.6227,10.3432,10.1282,9.7806,9.2485,8.7119,8.3288,8.0820,7.8983,7.7412,7.6295,7.5829,7.5672,7.5232,7.4163,7.2881,7.1716,7.0588,6.9216,6.7479,6.5517,6.3534,6.1585,5.9664,6.4475,5.4576,-35.675147,-71.542969,100,100,252940.023,SA,South america
China,CHN,42.2436,42.0993,42.1244,42.2097,42.2473,42.0912,41.7113,41.0561,40.1245,38.9691,37.7095,36.3764,34.9558,33.4534,31.8554,30.0692,28.1766,26.1470,24.1149,22.1573,20.3252,18.6609,17.1581,15.8384,14.6602,13.5587,12.5573,11.6239,10.7585,9.9458,9.1913,8.4951,7.8531,7.2715,6.7589,7.1648,6.3284,35.86166,104.195397,94.26111059,92.37617808,14722730.7,AS,Asia
Colombia,COL,34.3767,32.9380,31.7149,30.6314,29.6935,28.8396,28.0003,27.1709,26.3478,25.5329,24.7151,23.9029,23.1207,22.3831,21.6898,21.0410,20.4480,19.8801,19.3422,18.8187,18.2907,17.7655,17.2597,16.7532,16.2517,15.7649,15.2904,14.8071,14.3373,13.8869,13.4371,13.0278,12.6243,12.2055,11.8380,13.1358,10.4507,4.570868,-74.297333,97.49165711,93.68063058,271346.8966,SA,South america
Comoros,COM,101.2915,98.1713,95.2707,92.5237,89.9191,87.4613,84.9684,82.5446,80.2484,78.1998,76.5813,75.2755,74.0845,73.2568,72.6472,72.1911,71.8643,71.6747,71.3255,70.6688,69.6072,68.2985,66.7684,65.2662,63.6286,62.0643,60.2255,58.6937,57.1927,55.6235,54.0787,52.5694,51.1611,49.6835,48.2800,52.7953,43.6568,-11.875001,43.872219,80,35.907,1219.690025,AF,Africa
Congo,COG,61.1828,59.9318,59.0210,58.5873,58.5940,59.0445,59.9306,61.2186,62.9026,64.8672,66.9833,69.1244,71.1096,72.5444,73.0600,72.3897,70.6263,67.9059,64.4370,60.5086,56.5131,52.7619,49.4811,46.7307,44.6610,43.1132,42.0255,41.1820,40.4011,39.5490,38.5270,37.6027,36.6467,35.7260,34.8506,38.35,31.2345,-4.038333,21.758664,73.78451158,20.45974611,10884.68614,AF,Africa
Cook Islands,COK,21.4588,21.0948,20.8042,20.5953,20.4526,20.3579,20.2629,20.1392,19.9665,19.6713,19.2031,18.5701,17.8121,16.9785,16.1609,15.4237,14.7220,14.0446,13.3697,12.6984,12.0385,11.3889,10.7722,10.1955,9.6501,9.1683,8.7539,8.3833,8.0616,7.7540,7.4740,7.1988,6.9518,6.7299,6.5139,7.1634,5.8004,-21.236736,-159.777671,100,100,384,OC,Oceania
Costa Rica,CRI,19.6355,18.6110,17.0892,15.6275,14.6204,13.9698,13.5106,13.1776,12.9307,12.7574,12.6686,12.6604,12.5829,12.2515,11.6477,10.9799,10.4818,10.1883,10.0180,9.9068,9.8237,9.7436,9.6549,9.5354,9.3735,9.1588,8.8826,8.5636,8.2256,7.9012,7.6512,7.5308,7.5133,7.5327,7.5436,8.0309,7.0295,9.748917,-83.753428,100,97.91499372,61520.66989,NA,North america
Côte d'Ivoire,CIV,105.9549,105.1137,104.5557,104.1867,103.9695,103.8116,103.5766,103.3620,102.9936,102.5138,101.7568,100.8689,99.7544,98.4443,96.9378,95.2605,93.3690,91.4461,89.4983,87.4673,85.2300,83.3380,81.1154,78.8306,76.6545,74.6948,72.8727,70.8675,68.8733,67.0152,65.3350,63.8882,62.2331,60.5899,58.5997,65.2707,51.5275,7.539989,-5.54708,70.90907039,34.5659625,61348.57947,AF,Africa
